Device Name,Device ID,Class,Status
PCI standard host CPU bridge,PCI\VEN_1022&DEV_144F&SUBSYS_00000000&REV_00\3&11583659&2&C7,System,OK

NVVHCI Enumerator,ROOT\UNNAMED_DEVICE\0002,System,OK

ACPI Power Button,ACPI\PNP0C0C\AA,System,OK

NDIS Virtual Network Adapter Enumerator,ROOT\NDISVIRTUALBUS\0000,System,OK

AMD I2C Controller,ACPI\AMDI0010\3,System,OK

PCI standard ISA bridge,PCI\VEN_1022&DEV_790E&SUBSYS_790E1022&REV_51\3&11583659&2&A3,System,OK

PCI standard host CPU bridge,PCI\VEN_1022&DEV_144C&SUBSYS_00000000&REV_00\3&11583659&2&C4,System,OK

Motherboard resources,ACPI\PNP0C02\700,System,OK

AMD Audio CoProcessor,PCI\VEN_1022&DEV_15E2&SUBSYS_87B1103C&REV_01\4&2FEAE042&0&0541,System,OK

Microsoft System Management BIOS Driver,ROOT\MSSMBIOS\0000,System,OK

PCI standard host CPU bridge,PCI\VEN_1022&DEV_1448&SUBSYS_00000000&REV_00\3&11583659&2&C0,System,OK

HP Application Driver,ACPI\HPIC0003\3&11583659&2,System,OK

System CMOS/real time clock,ACPI\PNP0B00\4&1B28F883&0,System,OK

Plug and Play Software Device Enumerator,ROOT\SYSTEM\0000,System,OK

Remote Desktop Device Redirector Bus,ROOT\RDPBUS\0000,System,OK

WAN Miniport (IPv6),SWD\MSRRAS\MS_NDISWANIPV6,Net,OK

Programmable interrupt controller,ACPI\PNP0000\4&1B28F883&0,System,OK

WAN Miniport (L2TP),SWD\MSRRAS\MS_L2TPMINIPORT,Net,OK

