"DisplayName","Publisher","DisplayVersion","InstallDate","UninstallString"
"Microsoft .NET Runtime - 5.0.12 (x64)","Microsoft Corporation","40.48.30622","20211111","MsiExec.exe /X{84BBB763-AD8F-4033-8429-3DFC7C9FF3E2}"
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)","Microsoft Corporation","56.3.63170","20230713","MsiExec.exe /X{881E8637-78CF-48C4-BDE5-32EE7ED01452}"
"Microsoft .NET 7.0 Templates 7.0.306 (x64)","Microsoft Corporation","28.6.55371","20230713","MsiExec.exe /I{8A0B9ED8-32DC-478D-9B09-6B05D9AD61CF}"
"Application Verifier x64 External Package","Microsoft","10.1.19041.685","20230414","MsiExec.exe /I{8A4CD158-E6B3-6D91-D7DE-10098BC980E2}"
"Microsoft .NET Core Host - 3.1.32 (x64)","Microsoft Corporation","24.192.31915","20221216","MsiExec.exe /X{8A8E3A04-83BC-4CDE-9259-893B666C1AB1}"
"Microsoft.NET.Sdk.Maui.Manifest-7.0.100 (x64)","Microsoft Corporation","7.0.49","20230708","MsiExec.exe /X{8B3894C0-B5D2-4DDF-9732-75A96EE9A834}"
"Microsoft.NET.Sdk.iOS.Manifest-6.0.300","Microsoft Corporation","123.35.40751","20220522","MsiExec.exe /X{8B63E812-9653-45D2-8FE1-270C1821DB6A}"
"Microsoft .NET Host FX Resolver - 5.0.17 (x64)","Microsoft Corporation","40.68.31213","20220513","MsiExec.exe /X{8BA25391-0BE6-443A-8EBF-86A29BAFC479}"
"Microsoft .NET Host - 7.0.9 (x64)","Microsoft Corporation","56.39.63170","20230713","MsiExec.exe /X{8F119CBB-1BAC-40CC-BA74-4B65814CBBA8}"
"Microsoft.NET.Sdk.macOS.Manifest-6.0.300","Microsoft Corporation","99.227.40751","20220522","MsiExec.exe /X{8FF9A244-635C-47DF-ADB3-AC767BC2D22C}"
"Adobe e","Adobe Systems Incorporated","1.0.0000","20210916","MsiExec.exe /X{9012D4BB-5C31-4215-ABC4-6E2C210017F5}"
"Office 16 Click-to-Run Licensing Component","Microsoft Corporation","16.0.16626.20118","20230802","MsiExec.exe /I{90160000-007E-0000-1000-0000000FF1CE}"
"Office 16 Click-to-Run Extensibility Component","Microsoft Corporation","16.0.16626.20118","20230802","MsiExec.exe /X{90160000-008C-0000-1000-0000000FF1CE}"
"Office 16 Click-to-Run Localization Component","Microsoft Corporation","16.0.14131.20278","20210709","MsiExec.exe /X{90160000-008C-0409-1000-0000000FF1CE}"
"Microsoft .NET AppHost Pack - 6.0.20 (x64)","Microsoft Corporation","48.83.63169","20230713","MsiExec.exe /X{9C4B5F89-D3DB-4F5D-ADF0-462AF02EFFC0}"
"Python 3.11.3 Add to Path (64-bit)","Python Software Foundation","3.11.3150.0","20230523","MsiExec.exe /I{9EB782CC-B2A5-4B67-BFEC-C91F5B755CAF}"
"Python 3.11.3 Executables (64-bit)","Python Software Foundation","3.11.3150.0","20230523","MsiExec.exe /I{A2BCB6C1-272D-437F-A5BC-92431FC521B4}"
"ASUS AURA Headset Component","ASUSTek COMPUTER INC.","1.3.7.0","20201116","MsiExec.exe /I{A3C4120D-8096-4307-91A2-FFE37EBD5A3D}"
"Microsoft .NET AppHost Pack - 7.0.9 (x64_arm)","Microsoft Corporation","56.39.63170","20230713","MsiExec.exe /X{A41022E8-C1B0-4CFB-999B-F3986E2C0284}"
"Microsoft .NET Core AppHost Pack - 3.1.32 (x64_x86)","Microsoft Corporation","24.192.31915","20221216","MsiExec.exe /X{A4FF0652-BEA3-4E62-91A1-410194316D1F}"
"Microsoft.NET.Workload.Mono.Toolchain.Manifest","Microsoft Corporation","48.3.39076","20220522","MsiExec.exe /X{A626E240-C89F-45CD-BFD7-B263C3D33CAD}"
"Microsoft Visual C++ 2019 X64 Debug Runtime - 14.29.30139","Microsoft Corporation","14.29.30139","20230414","MsiExec.exe /I{A6BCA173-4218-4099-B36C-E12B3EE27B5D}"
"Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)","Microsoft Corporation","24.0.28113","20210102","MsiExec.exe /X{A7036CFB-B403-4598-85FF-D397ABB88173}"
"Microsoft .NET Core Runtime - 3.1.32 (x64)","Microsoft Corporation","24.192.31915","20221216","MsiExec.exe /X{A741B803-3F0E-4684-81EF-FC128D15A92C}"
"Microsoft .NET 6.0 Templates 6.0.315 (x64)","Microsoft Corporation","24.7.39014","20230713","MsiExec.exe /I{A826DBD4-1228-4188-830A-B5FC5B13B4D6}"
"Microsoft .NET AppHost Pack - 5.0.17 (x64_x86)","Microsoft Corporation","40.68.31213","20220513","MsiExec.exe /X{A95FEF96-3FF2-4387-9301-792B6721F648}"
"Microsoft .NET Core 5.0 Templates 5.0.214 (x64)","Microsoft Corporation","20.4.59785","20220513","MsiExec.exe /I{AAF41096-50BD-47DE-877F-F4CD1B04B155}"
"Microsoft .NET Core Host FX Resolver - 3.1.32 (x64)","Microsoft Corporation","24.192.31915","20221216","MsiExec.exe /X{ABC6B3C2-1A8D-4C5E-AC16-C2AE44F02743}"
"Microsoft Visual C++ 2005 Redistributable (x64)","Microsoft Corporation","8.0.61000","20210831","MsiExec.exe /X{ad8a2fa1-06e7-4b0d-927d-6e54b3d31028}"
"ASUS AURA Display Component","ASUSTek COMPUTER INC. ","1.1.25","20201116","MsiExec.exe /I{AFD1CF98-FE97-434C-A095-9F27C5BEA53C}"
"NVIDIA Graphics Driver 516.91","NVIDIA Corporation","516.91","20221212","""C:\WINDOWS\SysWOW64\RunDll32.EXE"" ""C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.DLL"",UninstallPackage Display.Driver"
"NVIDIA GeForce Experience 3.25.1.27","NVIDIA Corporation","3.25.1.27","20220921","""C:\WINDOWS\SysWOW64\RunDll32.EXE"" ""C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.DLL"",UninstallPackage Display.GFExperience"
"NVIDIA PhysX System Software 9.20.0221","NVIDIA Corporation","9.20.0221","20201116","""C:\Windows\SysWOW64\RunDll32.EXE"" ""C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.DLL"",UninstallPackage Display.PhysX"
